id,y
0,0
1,0
2,2
3,0
4,2
5,0
6,0
7,2
8,0
9,0
10,2
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,2
20,0
21,0
22,2
23,0
24,0
25,0
26,2
27,1
28,2
29,0
30,0
31,2
32,2
33,0
34,0
35,1
36,2
37,2
38,2
39,0
40,0
41,2
42,0
43,0
44,0
45,0
46,0
47,2
48,0
49,2
50,2
51,1
52,2
53,2
54,0
55,0
56,0
57,0
58,0
59,2
60,2
61,0
62,0
63,2
64,0
65,0
66,2
67,0
68,0
69,1
70,0
71,0
72,2
73,0
74,2
75,0
76,0
77,2
78,0
79,0
80,0
81,0
82,2
83,0
84,0
85,2
86,0
87,0
88,0
89,0
90,0
91,2
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,2
101,0
102,0
103,2
104,2
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,2
115,2
116,0
117,1
118,0
119,2
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,2
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,2
144,0
145,2
146,0
147,0
148,0
149,0
150,2
151,2
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,2
165,1
166,0
167,0
168,0
169,1
170,2
171,2
172,2
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,2
181,2
182,2
183,0
184,0
185,0
186,2
187,0
188,2
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,2
197,0
198,2
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,2
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,2
223,0
224,0
225,0
226,0
227,0
228,2
229,2
230,0
231,1
232,2
233,2
234,0
235,0
236,0
237,0
238,0
239,3
240,0
241,1
242,2
243,0
244,0
245,0
246,0
247,2
248,0
249,2
250,0
251,1
252,0
253,2
254,0
255,0
256,0
257,0
258,0
259,2
260,0
261,2
262,2
263,0
264,0
265,0
266,2
267,2
268,0
269,0
270,0
271,0
272,0
273,0
274,2
275,2
276,2
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,2
286,0
287,0
288,0
289,2
290,0
291,0
292,0
293,2
294,0
295,2
296,0
297,2
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,2
306,0
307,0
308,0
309,1
310,2
311,0
312,2
313,0
314,0
315,2
316,0
317,1
318,2
319,0
320,2
321,0
322,0
323,0
324,2
325,2
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,2
336,0
337,2
338,0
339,0
340,1
341,3
342,2
343,0
344,0
345,0
346,2
347,2
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,0
359,2
360,0
361,0
362,0
363,2
364,0
365,2
366,0
367,0
368,0
369,0
370,0
371,0
372,2
373,0
374,2
375,0
376,0
377,0
378,2
379,0
380,2
381,0
382,0
383,2
384,0
385,2
386,2
387,0
388,0
389,0
390,2
391,0
392,0
393,0
394,2
395,2
396,0
397,0
398,0
399,2
400,0
401,0
402,2
403,0
404,0
405,0
406,0
407,0
408,0
409,2
410,2
411,0
412,0
413,0
414,2
415,0
416,2
417,2
418,2
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,2
429,0
430,2
431,0
432,0
433,0
434,0
435,1
436,1
437,0
438,0
439,2
440,0
441,0
442,0
443,0
444,2
445,2
446,0
447,0
448,0
449,2
450,0
451,0
452,0
453,0
454,2
455,0
456,2
457,0
458,0
459,0
460,0
461,0
462,2
463,2
464,0
465,2
466,2
467,0
468,0
469,2
470,0
471,0
472,0
473,0
474,2
475,2
476,0
477,2
478,0
479,2
480,2
481,0
482,0
483,2
484,0
485,2
486,2
487,2
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,2
498,0
499,0
500,1
501,1
502,3
503,0
504,0
505,2
506,1
507,2
508,2
509,0
510,2
511,0
512,0
513,0
514,2
515,0
516,0
517,2
518,0
519,2
520,2
521,0
522,2
523,0
524,0
525,0
526,2
527,1
528,0
529,1
530,0
531,2
532,0
